text,conversation_id,created_at,retweet_count,reply_count,like_count,quote_count,is_reply_to_user,related_user_id,,,
"For anyone who needs a refresher. @cameron and I made the case for 500k bitcoin in August of 2020. The price of BTC back then was 13k. Today we stand at 30k. We're right on track. Be patient and HODL on.
https://t.co/BmDCS3oXlQ",1525091531891392512,2022-05-13T12:32:10.000Z,111,202,759,18,0,24222556
RT @cameron: It's days like this that I remind myself of when #Bitcoin was under $100 dollars. It's all about perspective and HODLing for t…,1524887032597733401,2022-05-12T22:59:34.000Z,66,0,0,0,0,24222556
RT @Gemini: We are aware of a recent story that suggested Gemini made a 100K BTC loan to large institutional counter-parties that reportedl…,1524439598264422400,2022-05-11T17:21:37.000Z,1767,0,0,0,0,24222556
Bitcoin looking like a deal these days.,1524147542233161729,2022-05-10T22:01:06.000Z,165,392,2635,30,0,24222556
"We're in the ""then they fight you"" phase of Bitcoin right now. But we know how this ends.
 https://t.co/crdFAPRThx",1523058128366931968,2022-05-07T21:52:09.000Z,47,119,322,11,0,24222556
"RT @cameron: The IMF is now pressuring countries like Argentina to ""discourage the use of crypto-currencies"" as a quid pro quo for receivin…",1522988946602577920,2022-05-07T17:17:15.000Z,498,0,0,0,0,24222556
"If you try to buck bitcoin by selling it short, you will soon find that bitcoin bucks you - and hard.",1522967010895880192,2022-05-07T15:50:05.000Z,51,189,658,2,0,24222556
"This is what it sounds like when the establishment is protecting their own interests. Bitcoin is your ticket to freedom and independence. Those who fight against it, want you to remain a cog in their wheel.
https://t.co/19LZeT5V0Y",1521482036501958656,2022-05-03T13:29:19.000Z,146,165,882,14,0,24222556
RT @gcockfoster: #Bitcoin is going to 100k,1520105301416026114,2022-04-29T18:18:40.000Z,23,0,0,0,0,24222556
RT @cameron: Another domino falls. Panama plans to adopt #Bitcoin as legal tender following El Salvador's lead. Who's next?,1520019986043084800,2022-04-29T12:39:39.000Z,163,0,0,0,0,24222556
"RT @_TroyOz: The hard Truth behind Terra Luna UST and Bitcoin? 
From @CryptoWendyO
https://t.co/R16XK5sZss",1525510147329490944,2022-05-14T16:15:36.000Z,4,0,0,0,0,935742315389444096
"RT @Cointelegraph: Overcoming childhood trauma and growing up in poverty, CryptoWendyO emerged successful with a little help from Bitcoin.…",1525170081067438081,2022-05-13T17:44:18.000Z,12,0,0,0,0,935742315389444096
"RT @itzjoshuajake: Fxck Blackrock. Here is how the worlds largest asset manager is set to make Trillions off #Bitcoin 

About to drop so mu…",1525143966038929409,2022-05-13T16:00:31.000Z,123,0,0,0,0,935742315389444096
"#Bitcoin 
Imagine if this is the local bottom https://t.co/syQcjBhfp1",1525142700390899713,2022-05-13T15:55:30.000Z,10,61,159,0,0,935742315389444096
"No, I’m not buying anything other then spot #bitcoin in this moment 

I’m tired, emotional and would prefer to evaluate the market based on levels of strength 

Can I miss out on Alt gains? 
Yes! 

Do I care?
No 

This my change, but let’s normalize taking no action and watching",1525075202400432128,2022-05-13T11:27:17.000Z,22,94,475,4,0,935742315389444096
Are we in a #bitcoin bear market?,1524861684849864704,2022-05-12T21:18:50.000Z,5,64,32,2,0,935742315389444096
"RT @BexBBex: Thank you ⁦@CryptoWendyO⁩ 
much needed update with a side of love &amp; light. 💕☀️#bitcoin #crypto #nftcommunity  https://t.co/5Ak…",1524717796545863680,2022-05-12T11:47:05.000Z,3,0,0,0,0,935742315389444096
"RT @LisaNEdwards: IMPORTANT UPDATE PLEASE READ
$LUNA #DeFi  #CRYPTO $BTC https://t.co/YFPZ5e6iNu",1524455274349694976,2022-05-11T18:23:55.000Z,41,0,0,0,0,935742315389444096
"$BTC
This is absolute brutality 

I think most of us are still in shock at the pure volatility

I know it will be ok, but we are in uncharted territory here considering how built out the current state of crypto is  

Weekly is even worse as we could have 6th red candle in a row https://t.co/BwCdQ3OyqQ",1524386440854925314,2022-05-11T13:50:23.000Z,5,29,76,2,0,935742315389444096
RT @HotepJesus: .@CryptoWendyO at Bitcoin Miami 2022 https://t.co/oxUb5fe1Ai,1523822942097879040,2022-05-10T00:31:15.000Z,10,0,0,0,0,935742315389444096
Did $UST crash $BTC ?,1523789590850457600,2022-05-09T22:18:43.000Z,41,202,678,4,0,935742315389444096
"RT @CryptoWendyO: when we don’t get a #Bitcoin relief bounce on a Monday 

https://t.co/1RMwc76Sl6",1523772547162009600,2022-05-09T21:11:00.000Z,7,0,0,0,0,935742315389444096
"$BTC #Bitcoin said puuuuuuuuuuuuuuuuuur

Market Cipher weekly also gave us a hint a few weeks ago cc @RealCryptoFace1 https://t.co/I9OWlq2YZk",1523704816672727040,2022-05-09T16:41:52.000Z,5,24,50,1,0,935742315389444096
RT @BPLSHPL42069: @CryptoWendyO #Bitcoin #bearmarket Riding out the Bear Market https://t.co/vI5qBIlHzx,1523667338775523328,2022-05-09T14:12:56.000Z,2,0,0,0,0,935742315389444096
"when we don’t get a #Bitcoin relief bounce on a Monday 

https://t.co/1RMwc76Sl6",1523660140649410560,2022-05-09T13:44:20.000Z,7,28,103,2,0,935742315389444096
"We are live taking altcoin requests and covering the #Bitcoin  weekly close 

Join and share 
https://t.co/TD9v3E7h6P",1523347691572326400,2022-05-08T17:02:46.000Z,6,1,37,0,0,935742315389444096
"Everyone asked for a dip in the crypto markets and the overlords provided 

$BTC #Bitcoin 

You don't have to trade or invest in anything ya know? https://t.co/BfwIUre49L",1523072732841185281,2022-05-07T22:50:11.000Z,24,64,175,1,0,935742315389444096
"My 401K plan is split between JPegs, #Bitcoin and illiquid alternative currency moonbags",1522661979437076481,2022-05-06T19:38:00.000Z,21,93,352,1,0,935742315389444096
"RT @EPICSMASHERTTV: Listening 👂 

@CryptoWendyO 

🚨HUGE CARDANO UPDATE🚩BITCOIN  IN TROUBLE ❤CA LOVE TO CRYPTO✅ https://t.co/esBkqaoeri via…",1522629990700830720,2022-05-06T17:30:53.000Z,2,0,0,0,0,935742315389444096
RT @CryptoWendyO: The entire feed after the #bitcoin bull trap https://t.co/Q73wUxTe8W,1522404860741644289,2022-05-06T02:36:18.000Z,13,0,0,0,0,935742315389444096
